colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel	Telomere
PD40315ae	11.75651715	CB001	HSC	HSC	cordblood	0	2084	34	59.87270268	1	3.350298899	42.4983097349518	3.25533428360451	8249.8
PD40315af	12.42545764	CB001	HSC	HSC	cordblood	0	2084	39	60.85107819	3	5.159577175	46.3673366544739	5.11280540643578	4334.3
PD40315ao	14.42368911	CB001	HSC	HSC	cordblood	0	2084	43	55.60705346	0	1.589861665	47.792144980407	1.72443495073271	4492.6
PD40315at	15.65548129	CB001	HSC	HSC	cordblood	0	2084	43	51.50500065	3	4.238665528	46.6633605460329	4.5105356071503	10701
PD40315aw	14.56813432	CB001	HSC	HSC	cordblood	0	2084	44	56.07184728	4	5.54867896	48.6443021281064	5.69839486575887	4464.2
PD40315bf	14.6415168	CB001	HSC	HSC	cordblood	0	2084	37	48.80583752	3	4.527756738	41.5708803255563	4.6852653441174	6914.4
PD40315bo	15.88846781	CB001	HSC	HSC	cordblood	0	2084	44	51.83694956	0	1.17223862	47.480559131021	1.47209541467773	4161.6
PD40315ew	14.64411218	CB001	HSC	HSC	cordblood	0	2084	30	41.7965024	1	2.527016878	34.5683044496602	2.68480227640583	5213.3
PD40315fj	15.7415191	CB001	HSC	HSC	cordblood	0	2084	48	56.25465138	0	1.21413524	51.5948195598159	1.49626783269816	6450.1
PD40521ap	15.12294048	KX001	HSC	HSC	bonemarrow	29	1882	441	634.1527564	1	17.3373023	532.57262442749	10.4570701316126	3110.8
PD40521au	15.00399237	KX001	HSC	HSC	bonemarrow	29	1882	532	728.6688621	3	19.55078188	625.457650722462	12.5907975175627	2774.9
PD40521cl	15.3329117	KX001	HSC	HSC	bonemarrow	29	1882	484	671.0770041	2	17.9648801	572.32831222988	11.2242748613309	3347.7
PD40521cm	16.5938422	KX001	HSC	HSC	bonemarrow	29	1882	538	691.8781392	0	13.8427197	608.907327016965	7.91016931460582	3023.8
PD40521di	15.14597116	KX001	HSC	HSC	bonemarrow	29	1882	515	707.4782132	2	18.29617811	606.211618859673	11.4313329570054	3746.4
PD40521dk	14.51794409	KX001	HSC	HSC	bonemarrow	29	1882	541	752.6144162	2	19.44230139	642.529807322327	12.1514674114256	2989.1
PD40521gt	15.59977145	KX001	HSC	HSC	bonemarrow	29	1882	553	732.5904387	0	15.4995889	637.353734627718	8.93432610061337	2669.5
PD40521ha	17.29231245	KX001	HSC	HSC	bonemarrow	29	1882	587	724.6976905	1	13.74728756	649.619188350545	8.24047342162859	3617.6
PD40521hb	15.53063989	KX001	HSC	HSC	bonemarrow	29	1882	578	759.5050367	2	17.61927041	663.367724615386	11.0088102874887	3513.9
PD40521hi	15.54639016	KX001	HSC	HSC	bonemarrow	29	1882	533	714.0673239	0	15.5919513	618.135757417728	8.99180226663339	3940.2
PD40521i	26.53690335	KX001	T	Naive T	bonemarrow	29	1903	972	990.5815747	35	37.41464595	979.250826791571	36.2757438599077	3855.4
PD40521j	29.9405493	KX001	T	Naive T	bonemarrow	29	1903	1220	1220.253597	49	49.03659047	1220.0946208064	49.0188907967147	3107.8
PD40521k	30.51183516	KX001	T	Naive T	bonemarrow	29	1903	695	692.895811	33	32.69135684	694.220273001667	32.8412406927606	3670.4
PD40521l	31.45641636	KX001	T	Naive T	bonemarrow	29	1903	1012	1006.361403	55	54.1507029	1009.93331737455	54.5657401050879	3369.2
PD40521m	44.92735041	KX001	T	Naive T	bonemarrow	29	1903	822	793.9881744	43	37.37480853	812.752899547118	40.3158248413056	3155.7
PD40521oh	11.92116242	KX001	B	Memory B	blood	29	1903	1335	1644.605154	48	70.77018507	1491.5789862801	61.5716874156728	14045.6
PD40521oi	9.490644349	KX001	B	Naive B	blood	29	1903	421	857.6505333	6	34.74211831	653.430494643826	23.532140451572	4626.2
PD40521oj	22.40683697	KX001	B	Naive B	blood	29	1903	789	843.9926995	42	48.20076034	811.855578279676	45.3779647316283	3526
PD40521ok	15.05542599	KX001	B	Naive B	blood	29	1903	625	820.1418045	20	36.45824796	717.63830740091	29.5328073015024	3524.5
PD40521om	13.16975288	KX001	B	Naive B	blood	29	1903	536	794.3653767	13	33.08438213	663.361338396344	24.8331630616127	4620.1
PD40521on	13.38048591	KX001	B	Memory B	blood	29	1903	1081	1331.507487	46	65.65435623	1203.96136839271	57.557464271423	7484.5
PD40521op	13.84817505	KX001	B	Memory B	blood	29	1903	2025	2258.81762	59	77.72290741	2138.6922921744	69.9629057444987	9932.5
PD40521oq	21.92219735	KX001	B	Memory B	blood	29	1903	1840	1900.690477	58	64.72319334	1865.42599286524	61.6764322927104	8888.6
PD40521os	14.29347314	KX001	B	Memory B	blood	29	1903	1718	1936.841654	36	53.8646504	1823.46692269804	46.4183022138106	8053.4
PD40521ot	10.91971784	KX001	B	Naive B	blood	29	1903	581	938.1488482	8	33.10529015	765.436440598666	23.1053531180046	4064.6
PD40521ov	14.92316759	KX001	B	Memory B	blood	29	1903	883	1082.089201	34	50.69688289	977.758375720658	43.6824363836844	5383
PD40521ow	23.22371991	KX001	B	Memory B	blood	29	1903	1687	1733.164415	76	81.36029268	1705.93494574377	78.9018219566831	7186.7
PD40521ox	16.63001786	KX001	B	Memory B	blood	29	1903	1492	1645.003577	72	85.78462481	1562.4557899252	79.8745013917432	6720.9
PD40521oy	7.374696799	KX001	B	Memory B	blood	29	1903	1454	2039.085098	18	52.86091738	1780.05015632739	39.7109295392839	13791.8
PD40521oz	15.06617053	KX001	B	Memory B	blood	29	1903	2031	2225.824075	72	88.43895995	2123.46795852884	81.5207245454823	1932.3
PD40521pc	9.68390943	KX001	B	Naive B	blood	29	1903	449	874.0169948	13	41.22819259	674.305287861608	30.1865062214585	4230.6
PD40521pd	19.00026951	KX001	B	Memory B	blood	29	1903	1568	1671.797514	65	75.28903986	1613.74332507424	70.760586861586	5295.9
PD40521pe	11.03326134	KX001	B	Memory B	blood	29	1903	1231	1582.442444	27	51.83202136	1412.05754047273	41.9248523610864	10309.4
PD40521ph	8.825205458	KX001	B	Memory B	blood	29	1903	943	1422.015341	20	50.56719139	1201.65307323443	38.7664679993805	5691.9
PD40521pj	6.899978798	KX001	B	Naive B	blood	29	1903	248	872.3698122	6	42.3660981	599.589133575706	28.7559247829145	3694.8
PD40521pl	13.6562683	KX001	B	Memory B	blood	29	1903	2078	2318.543579	55	74.10132934	2195.41500028681	66.2040230497083	9182.2
PD40521pm	12.91156062	KX001	B	Memory B	blood	29	1903	1408	1676.290735	35	55.62020024	1540.95078267159	47.1777345621194	9008.8
PD40521pn	16.3188324	KX001	B	Memory B	blood	29	1903	1805	1965.662622	61	75.28932529	1879.42351040132	69.1849228787923	9458.2
PD40521po	14.06742465	KX001	B	Memory B	blood	29	1903	1033	1259.335715	31	49.29690088	1142.57181504935	41.6921918296451	2584.6
PD40521pt	9.789885044	KX001	B	Memory B	blood	29	1903	1180	1598.760662	27	54.94939622	1401.48740781879	43.9993692403823	12258.9
PD40521pu	15.22688218	KX001	B	Memory B	blood	29	1903	1237	1427.124382	48	64.1522412	1326.95347183878	57.3413120894735	4639
PD40521px	14.18479163	KX001	B	Memory B	blood	29	1903	1309	1531.417251	58	76.07159545	1416.42265094617	68.5493299009152	7648.8
PD40521qc	8.948814328	KX001	B	Naive B	blood	29	1903	318	788.8665021	10	40.2215472	571.576469663811	28.5318885365905	4171.5
PD40521qd	12.19420658	KX001	B	Naive B	blood	29	1903	519	816.6796193	8	30.16210842	668.700684582269	21.1756297587752	3514.2
PD40521qe	11.61534564	KX001	B	Naive B	blood	29	1903	636	959.4737639	12	35.46554622	800.634532746202	26.0263003465991	5681.4
PD40521qf	18.99353172	KX001	B	Naive B	blood	29	1903	993	1096.917021	53	63.29815757	1038.80155024345	58.7660142281911	3875.3
PD40521qi	14.61274036	KX001	B	Naive B	blood	29	1903	589	797.6249995	18	35.26597389	688.907618573407	28.0402967462671	3861.9
PD40521qk	9.800909872	KX001	B	Memory B	blood	29	1903	958	1376.114728	22	49.92051383	1179.09379294058	38.979997187518	7720.6
PD40521ql	13.41467438	KX001	B	Naive B	blood	29	1903	585	834.2528233	22	41.58520284	707.260925766778	33.5131990956663	3811.7
PD40521qo	19.0215825	KX001	B	Naive B	blood	29	1903	579	682.4201888	24	34.26022862	624.559550512471	29.7434399281158	4454.8
