colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel
T13_B3	30.12062049	AX001	CD4 Naive	Naive T	blood	63	1903	1573	1571.453686	65	64.82047429	1572.93990042658	64.9104673132888
T13_B5	30.59290695	AX001	CD4 Naive	Naive T	blood	63	1903	1127	1119.563629	51	50.12649293	1126.71979983654	50.567271935968
T13_B9	24.78476203	AX001	CD4 Naive	Naive T	blood	63	1903	1563	1649.573949	63	71.7307811	1568.04499159699	67.7160965015123
T13_C10	19.42843442	AX001	CD8 Naive	Naive T	blood	63	1903	1158	1390.163551	37	57.00421684	1180.30371582905	48.7984388778662
T13_E6	11.98148203	AX001	CD4 Memory	Memory T	blood	63	1903	1385	1988.269579	30	70.72513029	1515.8099521944	57.4819450632936
T13_F1	26.22140773	AX001	CD4 Memory	Memory T	blood	63	1903	1594	1652.391301	77	83.12588063	1597.02164767103	80.2361633667985
T13_F4	21.28198815	AX001	CD4 Memory	Memory T	blood	63	1903	1817	1990.389151	60	75.80410938	1830.87813974541	69.0341301695489
T14_A1	31.22428672	AX001	CD4 Naive	Naive T	blood	63	1903	1203	1188.083672	51	49.22062375	1202.46010870609	50.1262795522661
T14_A10	28.06659381	AX001	CD4 Naive	Naive T	blood	63	1903	1519	1546.31176	70	73.00927533	1520.22605459994	71.5461980239899
T14_A7	32.4320223	AX001	CD4 Naive	Naive T	blood	63	1903	1361	1332.945595	70	66.55530703	1360.05604074872	68.3364560361083
T14_B11	30.28285168	AX001	CD4 Naive	Naive T	blood	63	1903	1684	1680.401139	69	68.58048834	1683.86161976608	68.7912638509405
T14_B12	23.16829844	AX001	CD4 Naive	Naive T	blood	63	1903	1504	1627.138841	53	64.86205798	1512.26843896575	59.5744249841194
T14_B2	22.30974079	AX001	CD4 Naive	Naive T	blood	63	1903	1172	1316.918696	51	64.61643574	1182.52683011008	58.652746303868
T14_B3	19.42648845	AX001	CD4 Naive	Naive T	blood	63	1903	1447	1679.230745	40	60.00880587	1469.31455550857	51.8015387218134
T14_B4	21.96539478	AX001	CD4 Naive	Naive T	blood	63	1903	1426	1580.15556	61	75.33859645	1437.56376973172	69.1042647567158
T14_B9	22.9127824	AX001	CD4 Naive	Naive T	blood	63	1903	1373	1502.439642	63	75.37738328	1381.89518372733	69.8884253138095
T14_F10	25.6132649	AX001	CD4 Memory	Memory T	blood	63	1903	1632	1701.862445	71	78.20881652	1635.79843194902	74.8440457162996
T14_F6	20.53267576	AX001	CD4 Memory	Memory T	blood	63	1903	3068	3263.934123	60	77.46156499	3084.86448202655	70.107514511097
T15_E5	26.3859098	AX001	CD4 Memory	Memory T	blood	63	1903	1419	1474.398459	56	61.83781285	1421.82931480828	59.0762430268435
T15_E9	24.19152844	AX001	CD4 Memory	Memory T	blood	63	1903	1851	1950.357865	63	72.85457773	1857.09315065867	68.3731705731185
T15_G10	30.63306339	AX001	CD8 Memory	Memory T	blood	63	1903	2076	2068.074685	101	100.0681392	2075.70215186449	100.538625293497
T16_A1	22.06193739	AX001	CD4 Naive	Naive T	blood	63	1903	1481	1632.535912	66	80.13504207	1492.26482564238	73.976547073907
T16_A8	20.50388933	AX001	CD4 Naive	Naive T	blood	63	1903	1123	1319.832048	44	61.52631947	1139.98965543269	54.1499150146028
T16_B12	27.08578244	AX001	CD4 Naive	Naive T	blood	63	1903	1283	1326.166014	46	50.6349011	1285.086779022	48.4165915804077
T16_B2	23.25104552	AX001	CD4 Naive	Naive T	blood	63	1903	1244	1365.130297	53	64.6963896	1252.07314059728	59.4739659801261
T16_B3	23.62547064	AX001	CD4 Naive	Naive T	blood	63	1903	1457	1569.232991	54	64.95413205	1464.23389143038	60.0267893622764
T16_B5	27.4957041	AX001	CD4 Naive	Naive T	blood	63	1903	1505	1541.363201	66	69.94708114	1506.70361458988	68.0453471145233
T16_D10	34.7078042	AX001	CD8 Naive	Naive T	blood	63	1903	1164	1114.869709	51	44.64431369	1162.53923089563	48.0221055962767
T16_E1	26.11017307	AX001	CD4 Memory	Memory T	blood	63	1903	1454	1514.441194	55	61.3218355	1457.15583279618	58.3453759542073
T16_E11	29.3707521	AX001	CD4 Memory	Memory T	blood	63	1903	1641	1649.354755	82	82.95189697	1641.34166413179	82.4798592119766
T16_F4	20.99043001	AX001	CD4 Memory	Memory T	blood	63	1903	1670	1851.974826	63	79.44264585	1684.98015976974	72.4449339605022
T16_F7	19.35071732	AX001	CD4 Memory	Memory T	blood	63	1903	2056	2290.856571	76	96.18778885	2078.74036325447	87.9225741572818
T16_F9	27.53427944	AX001	CD4 Memory	Memory T	blood	63	1903	1659	1694.73631	80	83.88298107	1660.66935967554	82.0109711498735
T17_B1	26.46991481	AX001	CD4 Naive	Naive T	blood	63	1903	1599	1652.887731	60	65.69149669	1601.7338338054	62.99530355734
T17_B11	22.93805567	AX001	CD4 Naive	Naive T	blood	63	1903	1390	1518.8097	54	66.32615625	1398.83155728903	60.8571090063574
T17_B6	21.32776879	AX001	CD4 Naive	Naive T	blood	63	1903	1325	1497.062076	56	71.70457511	1338.71162945596	64.9704027615194
T17_F12	23.26666887	AX001	CD4 Memory	Memory T	blood	63	1903	1509	1629.752815	54	65.66517758	1517.03667783844	60.4550660110088
T18_B12	36.35088411	AX001	CD4 Naive	Naive T	blood	63	1903	1895	1833.204103	85	76.71388944	1893.30135676816	81.1981691780133
